Entity,origin,emissions_per_kilogram,emissions_per_1000_kilocalories,land_use_per_kilogram,land_use_per_1000_kilocalories,water_scarcity_per_kilogram,water_scarcity_per_1000_kilocalories,water_withdrawals_per_kilogram,water_withdrawals_per_1000_kilocalories
Ale,Alcohol,0.48868986875,0.3173379596483496,0.811485184375,0.6011523725476732,1891.148529625,1417.8128222189289,49.402841640625,37.87327714680769
Almond milk,Vegan drinks,0.6558875395161291,2.2222299975528013,1.3701058564516129,2.675062597105732,99916.41729459676,282550.644552112,1246.9737829725807,2766.2581215345044
Apple juice,Vegan drinks,0.4583783999999999,0.9551837119924712,0.66062946,1.3828390804615898,3286.8296165,6754.678597162986,122.318340205,245.72380859734204
Beer,Alcohol,0.6862832217391304,0.6064715790097619,0.827887302173913,0.7663289670192425,2643.6401333565213,2433.325303661161,122.41636800217393,117.13307481985584
Cider,Alcohol,1.0816328666666666,1.9411761204320117,0.9052926666666667,1.7846440603166465,12617.803884285717,31025.677112087167,242.7138398095238,462.3508771061414
Coconut milk,Vegan drinks,3.319989781818182,12.84869178548552,0.5452690261363636,2.216620935050418,14423.40927715909,55484.54148685783,217.22635669204547,820.3220676452464
Coffee beans,Vegan drinks,16.824608285840707,147.12653523566297,19.39196396017699,96.0665264311259,229.0985863274336,2081.110221093444,16.213425538938054,147.237121517359
Coffee pods,Vegan drinks,20.29976355789473,167.07753943401306,13.771382379605264,106.97450934026249,2873.8087577763163,7639.36265978471,199.54930151578947,562.8196734270133
Cow's milk,No vegan drinks,3.703236627327327,7.1335065822847845,4.06814125945946,7.76786552128058,6564.578481351351,12606.919291865976,309.7745958618618,594.8726408370912
Fruit smoothies,No vegan drinks,1.6489147438016527,3.1023627310277293,1.2942647049586775,2.500552718205979,5162.963915884297,10190.803671575422,172.43288664586777,335.83165179256406
Instant coffee,Vegan drinks,28.783641316666667,302.6357414987589,18.368179943137257,192.1227714311464,582.531205822549,4430.106657352404,43.0810012,313.75968775737505
Milk chocolate,No vegan drinks,10.800274824937029,2.2109990918014817,17.273873918891688,3.564059642306705,8151.760939193955,1694.3128509061935,551.84745321335,112.37766432467356
Oat milk,Vegan drinks,0.4532805909090909,1.051134976955092,0.52687415,1.2217088576726198,811.5056176818182,1879.43998756668,14.491945377272726,33.57493750705404
Orange juice,Vegan drinks,0.4888484060085837,1.1987125194300765,0.7052967030042918,1.7068712931472902,6888.851487107296,17199.59617947541,142.6926414695279,356.5177759722582
Rice milk,Vegan drinks,1.4417970766666668,2.3415307353391666,0.5183953633333334,0.695843049507883,9387.363546666667,12477.673466720777,474.1513327333333,626.6717013030707
Soy milk,Vegan drinks,0.8931078380434783,2.320072569596529,0.8736948463768117,1.9519415073422373,685.6844249615942,2055.8688973991075,50.47613662572464,119.87833838843191
Tea,Vegan drinks,17.621043520156775,1510.962997851654,23.65968258174692,2023.699473557805,2563.3420540940647,49968.35577250794,62.435396881746925,1624.4880206474338
Wine,Alcohol,1.7228808271791285,14.623111188688092,4.333115946277149,15.575566885365124,1925.6693236056367,10997.467365858092,93.53537938491966,688.7747275268032
