Entity,origin,emissions_per_kilogram,emissions_per_1000_kilocalories,land_use_per_kilogram,land_use_per_1000_kilocalories,water_scarcity_per_kilogram,water_scarcity_per_1000_kilocalories,water_withdrawals_per_kilogram,water_withdrawals_per_1000_kilocalories
Bacon,3,19.314209012302378,6.81860721620053,42.33222878321777,14.792840973233847,56859.51950384431,20370.427341332237,1649.7112903475854,588.2346114157523
Beef burger,1,53.97637075589627,21.90513424677768,135.34711651402569,54.56087394680077,74017.89145289209,30482.176941396014,3492.0811416001734,1441.4197508907553
Beef curry,1,17.36872478560908,10.618865930124366,35.401983177499034,21.61046730934613,40380.56697603424,24767.855813148715,1800.8988631225166,1103.520935415753
Beef meatballs,1,70.78747415036258,31.33869128388766,214.9953975422251,94.46301214419434,51943.57774983061,23894.358732566776,2227.9892438702245,1036.4477844960168
Beef mince,1,95.0345722731625,47.33659810443529,295.25354433350543,147.16678126004166,56773.19692243626,28257.661411509336,2493.946114362598,1239.7288036559282
Beef noodles,1,2.290114275,1.5101108935837977,4.0816445,2.610892944819063,12893.176955,9531.587650241514,363.200418,259.9858064124293
Beef steak,1,129.74771482600087,68.09595353536972,427.331125983305,223.6901353947563,48932.71274894278,26479.39371147691,1954.3529841239408,1066.1735938545278
Blue cheese,8,20.10575330625,6.113388551472669,23.8921457,7.249884407899293,39276.251266875,11967.245680361644,1895.34902125,576.4326347444373
Brie,8,19.139581434146343,5.702704380795167,22.454388370731703,6.681748455133613,36540.89867902439,10868.767498386307,1765.5485732682928,525.0151141969678
Butter,8,3.324503183006536,1.1653931435124731,3.619796747058824,1.250473726187288,6142.515251764706,2150.2589413596306,271.5578883601307,96.55754973533423
Camembert,8,16.2814304627907,5.171893305925411,19.04435737906977,5.992492098647476,31867.99088069767,10104.699539959222,1529.7198416744186,483.9803147359843
Cheddar cheese,8,20.749044536746982,5.406193335076911,24.451037122891567,6.353025569040147,40220.710785301206,10459.213056326882,1939.913257493976,503.8425672607066
Cheesecake,8,2.369301844444444,0.6994294790405281,2.5869832,0.7646345222459421,9076.589122222224,2682.377037872612,460.784719,136.6615651219526
Chicken breast,2,9.272323308164042,5.830486358892779,9.220958918499807,5.796038812253908,13741.15923364835,8604.895943553036,563.9170655206422,353.0153887460333
Chicken burger,2,5.434486845554163,2.329614781812185,6.053407499572316,2.560246276939894,9788.142590023816,4050.582589668936,379.126194083144,157.41709659753727
Chicken curry,2,3.616545986208796,2.6634853762254584,3.977668290601017,2.9400736573061104,11147.176674665792,8064.66306698713,436.1916329416942,316.9403103057694
Chicken noodles,2,2.383995704574977,1.9509335254464528,3.3128930338534426,2.8013678271446034,11734.065707382006,10243.176211111057,413.2280333568973,352.268035829455
Chicken pasta,2,2.946764556691817,1.900545719442844,3.575445120352258,2.3060308638444016,10478.902281829203,6856.732821559477,309.9990519096519,202.5102641094257
Chicken sausages,2,8.164302485896087,4.020154658718568,8.330555240951941,4.0744704082958565,11978.280659897118,5656.342491749182,483.113586082556,233.9368951055446
Chicken thighs,2,9.98188130190233,5.095226685425632,9.85175385800428,5.02346705210131,14026.462965891438,7180.760486243421,577.2318275568115,294.4683031323756
Chicken wings,2,9.583456219515725,4.650310689715051,9.50696985655316,4.613540501633127,15450.919568777052,7500.730315978383,631.833950726057,306.878959323947
Chilli con carne,6,13.54080492,7.844402601403483,28.30468467,16.3987914362589,27501.47005,15930.919911440777,1255.103151,727.0945555326957
Chocolate cheesecake,8,4.900423833333333,1.1986274484311998,6.511175266666667,1.5926345348459956,7357.200605555556,1801.143915929995,483.7444498888888,118.2444324567664
Cottage cheese,8,25.278503140540536,29.346968292364863,29.91505998918919,34.69433735316729,49595.30732972973,57659.88218189064,2418.437820810811,2811.564825287026
Dairy-free cheese,8,1.976174015,0.5155037698196617,4.213885965,0.9746453012397176,68787.90944,12868.93861659074,1416.94984495,286.2425817256698
Egg noodles,2,1.3815115279411767,0.885474538535494,2.9990484029411766,1.9823105899194688,9421.295975955882,6476.630230423416,273.119589775,199.9619923951617
Eggs,2,4.436600070403587,2.7650863317201475,6.824728514798206,4.365401504893748,29742.158764573986,20686.49470179944,830.0307519085202,560.0402699850648
Feta cheese,8,14.838609167741934,5.042113494137814,17.472120806451613,5.934871858645117,28194.19296661613,9585.429693883823,1366.755041829032,464.6269777230796
Goat's cheese,8,19.312073018867927,6.2202507824856665,22.61793603962264,7.295756348323036,37119.24236773585,12006.6398427435,1782.2338281886796,576.2090757953179
Halloumi cheese,8,16.172452393333334,5.282518810262882,19.101110773333332,6.247765318929019,31598.03432633333,10294.403768435715,1534.2174020666666,500.8115093428871
Ice cream,8,3.661809453757829,1.9419912297337525,5.287275175574113,2.5840622764939822,7961.440015457202,4415.67176522348,463.3415495217119,257.1539059415246
Lamb (leg),4,30.74094725519043,15.182483192767954,43.422118258673706,21.444984725794157,1019.9472640617188,502.14675472829606,88.01058658013702,43.37236466467436
Lamb Hotpot,4,11.22625366261194,7.164108985213675,15.960923737882224,10.201666641109162,2636.497491266926,1999.431691175084,94.1239414820596,69.34108528332362
Lamb burgers,4,26.92828869900683,10.81535071554516,38.0973729462661,15.302500019773754,2310.035002766529,950.6742842472288,106.4520233986762,43.29112860047991
Lamb casserole,4,30.87731,11.95055183229376,43.66,16.89788045001153,995.28,385.2066526405744,86.27000000000001,33.38937577696966
Lamb chops,4,30.901992941176477,11.828167677291187,43.66,16.711249458434636,995.28,380.9521841729461,86.27000000000001,33.02060217084645
Lamb curry,4,10.192564702241118,7.817066965338552,16.24347882138017,12.458993106025169,3309.17987385743,2533.284403296308,151.81605653753914,116.1303074725583
Lamb moussaka,4,7.25916164,5.772825612032356,9.82535584,7.813575044643306,8521.204514,6776.17636280375,286.8188972,228.0946049137204
Macaroni cheese,8,16.849313125000002,5.245218565840563,20.686935125,6.597463499689409,36337.255525,12125.6353202977,1668.2072232500002,531.0754696720301
Meat pizza,6,7.400659903436843,2.3680933973528915,8.356963704511628,2.657870496239583,29485.73139845547,9130.11645891585,883.3655337994494,277.3414092926492
Mozzarella cheese,8,16.233199963265307,6.764519896917329,19.06128553673469,7.936335216784964,31345.40732755102,12995.0128301846,1507.3516586734693,625.5654673358666
Parmesan cheese,8,24.016479826923074,6.369094703736153,28.24949643076923,7.495260171233893,46478.717165,12318.256740008608,2253.2114089615384,597.4380326442841
Pork chops,3,12.163890844686144,4.588104959111599,17.308312471421083,6.422917874096158,57088.76903928168,21681.848484919512,1642.005709044881,619.3176481015264
Pork loin,3,11.976514490174353,4.804565021768175,16.46357889728122,6.60189118670139,57525.90422817709,23138.946602582437,1611.1902953818817,645.2673847971447
Pork sausage rolls,3,6.186894384955056,1.581802682817077,7.92593466423641,2.0281725619619086,28143.643626256,7225.828833431417,783.4298074990559,200.72047716208803
Pork sausages,3,9.76787802021892,3.6608996091717176,13.559548049646155,5.112491734752957,45559.16489329039,17067.21660653893,1292.2172244383887,485.13619502443663
Ricotta cheese,8,16.294973589473685,5.201454772073049,18.968722342105263,6.017694517134642,33023.84304736842,10412.68784063616,1549.2425105263158,488.89034773315024
Sausage rolls,6,5.849549300000001,1.5521194888368528,7.839798642857144,2.0812322867784894,27457.92351428572,7308.348269045939,779.4442135714287,207.02350910907072
Steak pie,5,7.10186367,3.380397944970586,14.10315367,6.712400263890725,17743.36035,8465.169563567071,727.7406384,346.5897216371851
Vegetarian chilli con carne,6,1.4292908166666665,1.0559605494155355,3.4693256,2.5628326785060804,5549.590148333333,4099.408320734007,152.48299683333337,112.63419412082254
Yoghurt,8,3.1118107311672683,3.9866624753644926,3.2097209967509026,4.120987197815017,6595.917073498616,8260.594267928987,311.7499471739471,388.01509083269553
