,Semana,medio ambiente: (Todo el mundo),cambio climático: (Todo el mundo),Huella de carbono: (Todo el mundo),Conservación de la naturaleza: (Todo el mundo)
1,2019-03-10,9,1,<1,0
2,2019-03-17,9,1,<1,<1
3,2019-03-24,9,1,<1,0
4,2019-03-31,9,1,<1,<1
5,2019-04-07,8,1,<1,0
6,2019-04-14,4,<1,<1,<1
7,2019-04-21,7,<1,<1,<1
8,2019-04-28,7,<1,<1,<1
9,2019-05-05,9,1,<1,<1
10,2019-05-12,11,1,<1,<1
11,2019-05-19,12,1,<1,<1
12,2019-05-26,15,1,<1,<1
13,2019-06-02,30,1,<1,0
14,2019-06-09,13,1,<1,<1
15,2019-06-16,9,<1,<1,<1
16,2019-06-23,7,<1,<1,0
17,2019-06-30,6,<1,<1,0
18,2019-07-07,5,<1,<1,0
19,2019-07-14,5,<1,<1,0
20,2019-07-21,5,<1,<1,<1
21,2019-07-28,5,<1,<1,<1
22,2019-08-04,5,<1,<1,<1
23,2019-08-11,6,<1,<1,<1
24,2019-08-18,8,1,<1,0
25,2019-08-25,9,1,<1,0
26,2019-09-01,10,1,<1,<1
27,2019-09-08,10,1,<1,<1
28,2019-09-15,9,1,<1,<1
29,2019-09-22,11,2,<1,0
30,2019-09-29,10,1,<1,0
31,2019-10-06,9,1,<1,<1
32,2019-10-13,10,1,<1,0
33,2019-10-20,10,1,<1,<1
34,2019-10-27,8,1,<1,<1
35,2019-11-03,9,1,<1,0
36,2019-11-10,8,1,<1,0
37,2019-11-17,8,1,<1,0
38,2019-11-24,8,1,<1,<1
39,2019-12-01,7,1,<1,0
40,2019-12-08,5,1,<1,<1
41,2019-12-15,4,<1,<1,0
42,2019-12-22,2,<1,<1,0
43,2019-12-29,2,<1,<1,0
44,2020-01-05,4,<1,<1,<1
45,2020-01-12,6,1,<1,0
46,2020-01-19,7,1,<1,<1
47,2020-01-26,6,1,<1,<1
48,2020-02-02,7,1,<1,0
49,2020-02-09,8,1,<1,<1
50,2020-02-16,8,1,<1,<1
51,2020-02-23,7,1,<1,<1
52,2020-03-01,8,1,<1,<1
53,2020-03-08,8,1,<1,<1
54,2020-03-15,6,1,<1,<1
55,2020-03-22,8,1,<1,<1
56,2020-03-29,8,1,<1,<1
57,2020-04-05,4,<1,<1,<1
58,2020-04-12,7,1,<1,<1
59,2020-04-19,13,1,<1,<1
60,2020-04-26,11,1,<1,<1
61,2020-05-03,13,1,<1,<1
62,2020-05-10,13,1,<1,<1
63,2020-05-17,13,1,<1,<1
64,2020-05-24,15,1,<1,<1
65,2020-05-31,31,1,<1,<1
66,2020-06-07,16,1,<1,<1
67,2020-06-14,10,1,<1,<1
68,2020-06-21,9,1,<1,<1
69,2020-06-28,8,1,<1,<1
70,2020-07-05,9,1,<1,<1
71,2020-07-12,7,1,<1,<1
72,2020-07-19,6,1,<1,<1
73,2020-07-26,5,1,<1,<1
74,2020-08-02,6,<1,<1,<1
75,2020-08-09,6,1,<1,<1
