Categoría: Todas las categorías

Semana,medio ambiente: (Todo el mundo),cambio climático: (Todo el mundo),Huella de carbono: (Todo el mundo),Conservación de la naturaleza: (Todo el mundo),Desarrollo sostenible: (Todo el mundo)
2019-03-10,9,1,<1,0,1
2019-03-17,9,1,<1,<1,1
2019-03-24,9,1,<1,0,1
2019-03-31,9,1,<1,<1,1
2019-04-07,8,1,<1,0,1
2019-04-14,4,<1,<1,<1,1
2019-04-21,7,<1,<1,<1,1
2019-04-28,7,<1,<1,<1,1
2019-05-05,9,1,<1,<1,1
2019-05-12,11,1,<1,<1,1
2019-05-19,12,1,<1,<1,1
2019-05-26,15,1,<1,<1,1
2019-06-02,30,1,<1,0,1
2019-06-09,13,1,<1,<1,1
2019-06-16,9,<1,<1,<1,1
2019-06-23,7,<1,<1,0,1
2019-06-30,6,<1,<1,0,1
2019-07-07,5,<1,<1,0,1
2019-07-14,5,<1,<1,0,1
2019-07-21,5,<1,<1,<1,1
2019-07-28,5,<1,<1,<1,1
2019-08-04,5,<1,<1,<1,1
2019-08-11,6,<1,<1,<1,1
2019-08-18,8,1,<1,0,1
2019-08-25,9,1,<1,0,1
2019-09-01,10,1,<1,<1,1
2019-09-08,10,1,<1,<1,1
2019-09-15,9,1,<1,<1,1
2019-09-22,11,2,<1,0,1
2019-09-29,10,1,<1,0,1
2019-10-06,9,1,<1,<1,1
2019-10-13,10,1,<1,0,1
2019-10-20,10,1,<1,<1,1
2019-10-27,8,1,<1,<1,1
2019-11-03,9,1,<1,0,1
2019-11-10,8,1,<1,0,1
2019-11-17,8,1,<1,0,1
2019-11-24,8,1,<1,<1,1
2019-12-01,7,1,<1,0,1
2019-12-08,5,1,<1,<1,1
2019-12-15,4,<1,<1,0,1
2019-12-22,2,<1,<1,0,<1
2019-12-29,2,<1,<1,0,<1
2020-01-05,4,<1,<1,<1,1
2020-01-12,6,1,<1,0,1
2020-01-19,7,1,<1,<1,1
2020-01-26,6,1,<1,<1,1
2020-02-02,7,1,<1,0,1
2020-02-09,8,1,<1,<1,2
2020-02-16,8,1,<1,<1,2
